assignment_id,borrower_id,product_id,relationship_manager_id,start_date,end_date
1,1,PRD001,2933,2016-12-31,
2,1,PRD001,4840,2004-01-01,2016-12-30
3,2,PRD002,1540,2012-12-31,
4,2,PRD002,5483,2009-12-31,2012-12-30
5,3,PRD003,5199,2012-12-31,
6,3,PRD003,3744,2004-01-01,2012-12-30
7,4,PRD004,4383,2015-01-01,
8,4,PRD004,1790,2014-01-01,2014-12-31
9,5,PRD002,4334,2024-01-01,
10,5,PRD002,1906,2023-01-01,2023-12-31
11,6,PRD005,4531,2016-12-31,
12,6,PRD005,1386,2012-12-31,2016-12-30
13,7,PRD006,1351,2016-12-31,
14,8,PRD007,313,2022-01-01,
15,8,PRD007,5405,2020-12-31,2021-12-31
16,9,PRD008,3125,2020-12-31,
17,9,PRD008,2909,2020-01-01,2020-12-30
18,10,PRD002,3358,2022-01-01,
19,10,PRD002,4445,2020-12-31,2021-12-31
20,11,PRD004,3002,2020-01-01,
21,11,PRD004,2889,2017-12-31,2019-12-31
22,12,PRD009,3972,2017-12-31,
23,12,PRD009,3139,2016-12-31,2017-12-30
24,13,PRD004,5547,2023-01-01,
25,14,PRD004,3697,2022-01-01,
26,14,PRD004,2459,2019-01-01,2021-12-31
27,15,PRD010,477,2016-12-31,
28,15,PRD010,2434,2016-01-01,2016-12-30
29,16,PRD004,1883,2020-12-31,
30,16,PRD004,3651,2019-01-01,2020-12-30
31,17,PRD002,1330,2022-01-01,
32,18,PRD002,442,2022-01-01,
33,19,PRD007,3965,2017-12-31,
34,19,PRD007,3393,2016-12-31,2017-12-30
35,20,PRD004,4568,2015-01-01,
36,20,PRD004,349,2014-01-01,2014-12-31
37,21,PRD011,1860,2024-01-01,
38,21,PRD011,705,2023-01-01,2023-12-31
39,22,PRD012,4780,2022-01-01,
40,23,PRD002,553,2024-01-01,
41,23,PRD002,1728,2023-01-01,2023-12-31
42,24,PRD013,4294,2016-12-31,
43,24,PRD013,1830,2016-01-01,2016-12-30
44,25,PRD002,32,2023-01-01,
45,25,PRD002,2614,2016-01-01,2022-12-31
46,26,PRD014,5285,2022-01-01,
47,27,PRD015,3149,2016-01-01,
48,27,PRD015,1215,2015-01-01,2015-12-31
49,28,PRD012,1034,2022-01-01,
50,28,PRD012,5007,2020-12-31,2021-12-31
51,29,PRD001,5266,2016-12-31,
52,29,PRD001,3430,2015-01-01,2016-12-30
53,30,PRD004,1988,2012-01-01,
54,30,PRD004,710,2007-01-01,2011-12-31
55,31,PRD016,5056,2012-12-31,
56,31,PRD016,3191,2008-12-31,2012-12-30
57,32,PRD010,1535,2020-01-01,
58,32,PRD010,2523,2019-01-01,2019-12-31
59,33,PRD004,3288,2022-01-01,
60,33,PRD004,1797,2020-12-31,2021-12-31
61,34,PRD006,875,2024-01-01,
62,34,PRD006,5357,2014-01-01,2023-12-31
63,35,PRD010,4789,2022-01-01,
64,35,PRD010,4009,2020-12-31,2021-12-31
65,36,PRD010,2971,2022-01-01,
66,37,PRD010,538,2016-12-31,
67,37,PRD010,417,2016-01-01,2016-12-30
68,38,PRD011,1812,2017-12-31,
69,38,PRD011,2689,2003-01-01,2017-12-30
70,39,PRD016,4106,2020-12-31,
71,39,PRD016,4622,2001-12-31,2020-12-30
72,40,PRD017,2269,2015-01-01,
73,40,PRD017,2439,2014-01-01,2014-12-31
