snapshot_id,borrower_id,snapshot_date,monthly_income_usd,daily_income_usd,hourly_income_usd,monthly_gross_usd,income_growth_pct,collateral_score,secondary_income_flag
1,1,2023-12-01,16799.0,1147.0,31.0,16616.0,14.0,1,No
2,1,2022-12-01,14735.96,1244.1,31.07,16616.0,19.4,1,No
3,1,2021-12-01,12341.68,1067.03,32.48,16616.0,11.07,0,No
4,2,2023-08-18,2028.0,267.0,79.0,13637.0,18.0,3,No
5,2,2022-08-18,1718.64,227.28,88.69,13637.0,16.73,3,No
6,2,2021-08-18,1472.32,229.57,67.77,13637.0,15.91,2,No
7,3,2023-07-23,2559.6,1394.0,63.8,18115.0,16.0,1,Yes
8,3,2022-07-23,2206.55,1435.8,60.64,18115.0,18.2,1,Yes
9,3,2021-07-23,1866.8,1586.02,73.23,18115.0,10.42,0,Yes
10,4,2023-08-24,3514.8,678.0,38.5,20338.0,12.0,0,No
11,4,2022-08-24,3138.21,707.38,42.29,20338.0,11.93,0,No
12,4,2021-08-24,2803.73,739.29,39.4,20338.0,9.29,0,No
13,5,2023-08-25,1779.6,1181.0,86.9,16102.0,14.0,0,No
14,6,2023-10-19,11031.0,697.0,40.0,26862.0,20.0,1,No
15,6,2022-10-19,9192.5,658.97,35.9,26862.0,14.03,1,No
16,6,2021-10-19,8061.48,640.75,42.52,26862.0,9.26,0,No
17,7,2023-11-02,7098.0,655.0,52.8,9528.0,22.0,1,No
18,7,2022-11-02,5818.03,710.86,58.23,9528.0,16.31,1,No
19,7,2021-11-02,5002.18,680.02,49.0,9528.0,13.53,0,No
20,8,2023-09-11,4465.0,976.0,100.0,12069.0,18.0,0,No
21,8,2022-09-11,3783.9,856.91,98.12,12069.0,12.04,0,No
22,9,2023-10-24,4148.0,853.0,96.0,11275.0,12.0,1,No
23,9,2022-10-24,3703.57,906.12,108.11,11275.0,10.28,1,No
24,9,2021-10-24,3358.33,745.21,92.61,11275.0,15.42,0,No
25,10,2023-10-30,3180.0,410.0,97.0,4668.0,13.0,3,No
26,10,2022-10-30,2814.16,426.54,105.08,4668.0,19.83,3,No
27,11,2023-10-16,2859.0,1214.0,30.0,26278.0,18.0,0,No
28,11,2022-10-16,2422.88,1358.92,28.17,26278.0,12.4,0,No
29,11,2021-10-16,2155.59,1226.9,27.71,26278.0,15.8,0,No
30,12,2023-08-28,13610.0,1277.0,56.0,24619.0,12.0,0,Yes
31,12,2022-08-28,12151.79,1338.01,52.22,24619.0,17.7,0,Yes
32,12,2021-08-28,10324.37,1443.64,58.14,24619.0,14.38,0,Yes
33,13,2023-07-07,2318.0,618.0,76.0,17808.0,19.0,0,No
34,14,2023-11-06,4684.8,360.0,102.3,22154.0,13.0,0,No
35,14,2022-11-06,4145.84,406.14,90.72,22154.0,11.11,0,No
36,14,2021-11-06,3731.29,321.32,95.0,22154.0,9.81,0,No
37,15,2023-11-13,7662.0,135.0,68.2,12992.0,14.0,2,Yes
38,15,2022-11-13,6721.05,129.39,75.12,12992.0,14.94,2,Yes
39,15,2021-11-13,5847.44,130.58,68.02,12992.0,8.22,1,Yes
40,16,2023-11-14,3020.4,1167.0,83.6,3208.0,11.0,3,No
41,16,2022-11-14,2721.08,1211.0,76.33,3208.0,14.87,3,No
42,16,2021-11-14,2368.84,1138.96,93.37,3208.0,14.34,2,No
43,17,2023-08-09,3193.2,1346.0,102.3,8758.0,11.0,1,No
44,17,2022-08-09,2876.76,1216.71,87.27,8758.0,18.09,1,No
45,18,2023-10-18,3639.6,805.0,95.7,12828.0,12.0,0,No
46,18,2022-10-18,3249.64,836.69,105.89,12828.0,16.6,0,No
47,19,2023-11-02,4537.0,249.0,35.0,17783.0,22.0,1,Yes
48,19,2022-11-02,3718.85,285.88,34.83,17783.0,19.76,1,Yes
49,19,2021-11-02,3105.25,257.52,35.49,17783.0,9.58,0,Yes
50,20,2023-09-28,3223.2,527.0,69.3,5207.0,13.0,0,Yes
51,20,2022-09-28,2852.39,478.44,59.52,5207.0,19.27,0,Yes
52,20,2021-09-28,2391.54,451.59,69.54,5207.0,9.52,0,Yes
